,From,To,Category,ratio,Ratio
323,se,hu,food-non-alc,0.6895671412468338,0.6895671412468338
324,se,hu,health,0.2678509965624933,0.2678509965624933
325,se,hu,it-tech,0.783613343229986,0.783613343229986
326,se,hu,leisure,0.44394438345525017,0.44394438345525017
327,se,hu,transport,0.5660137590009877,0.5660137590009877
328,se,es,alc-tobacco,0.713807819263795,0.713807819263795
329,se,es,clothing,0.801975909296106,0.801975909296106
330,se,es,education,0.5449747675841853,0.5449747675841853
331,se,es,food-non-alc,0.9061040567872894,0.9061040567872894
332,se,es,health,0.7348497866828637,0.7348497866828637
333,se,es,it-tech,1.0057886097728646,1.0057886097728646
334,se,es,leisure,0.7382593056380589,0.7382593056380589
335,se,es,transport,0.774572821895088,0.774572821895088
